dataset,analysis,module,n_requested,n_available,coverage_fraction,minimum_coverage_requirement,meets_minimum_coverage,available_genes,missing_genes
GSE60042,CYP11B2_free,ZF_cortisol_program,8,8,1.0,0.8,True,CYP11B1;CYP17A1;MC2R;SULT2A1;CYB5A;PAPSS2;AKR1B1;PDE8B,
GSE60042,CYP11B2_free,ZR_androgen_program,8,8,1.0,0.8,True,CYP17A1;CYB5A;SULT2A1;SULT2B1;PAPSS2;AKR1C3;HSD17B2;HSD17B6,
GSE60042,common_genes_all_platforms,ZG_aldosterone_program,12,12,1.0,0.8,True,CYP11B2;HSD3B2;AGTR1;VSNL1;DACH1;LGR5;PDE2A;NR4A1;NR4A2;CACNA1D;CACNA1H;ATP2B3,
GSE60042,common_genes_all_platforms,intermediate_steroidogenic_program,10,10,1.0,0.8,True,CYP11A1;STAR;HSD3B2;CYP21A2;MC2R;FDX1;FDXR;SCARB1;TSPO;NR5A1,
GSE60042,common_genes_all_platforms,ZF_cortisol_program,8,8,1.0,0.8,True,CYP11B1;CYP17A1;MC2R;SULT2A1;CYB5A;PAPSS2;AKR1B1;PDE8B,
GSE60042,common_genes_all_platforms,ZR_androgen_program,8,8,1.0,0.8,True,CYP17A1;CYB5A;SULT2A1;SULT2B1;PAPSS2;AKR1C3;HSD17B2;HSD17B6,
GSE156931,primary,ZG_aldosterone_program,13,12,0.9230769230769231,0.8,True,CYP11B2;HSD3B2;AGTR1;VSNL1;DACH1;LGR5;PDE2A;NR4A1;NR4A2;CACNA1D;CACNA1H;ATP2B3,ANO4
GSE156931,primary,intermediate_steroidogenic_program,10,10,1.0,0.8,True,CYP11A1;STAR;HSD3B2;CYP21A2;MC2R;FDX1;FDXR;SCARB1;TSPO;NR5A1,
GSE156931,primary,ZF_cortisol_program,8,8,1.0,0.8,True,CYP11B1;CYP17A1;MC2R;SULT2A1;CYB5A;PAPSS2;AKR1B1;PDE8B,
GSE156931,primary,ZR_androgen_program,8,8,1.0,0.8,True,CYP17A1;CYB5A;SULT2A1;SULT2B1;PAPSS2;AKR1C3;HSD17B2;HSD17B6,
GSE156931,CYP11B2_free,ZG_aldosterone_program,12,11,0.9166666666666666,0.8,True,HSD3B2;AGTR1;VSNL1;DACH1;LGR5;PDE2A;NR4A1;NR4A2;CACNA1D;CACNA1H;ATP2B3,ANO4
GSE156931,CYP11B2_free,intermediate_steroidogenic_program,10,10,1.0,0.8,True,CYP11A1;STAR;HSD3B2;CYP21A2;MC2R;FDX1;FDXR;SCARB1;TSPO;NR5A1,
GSE156931,CYP11B2_free,ZF_cortisol_program,8,8,1.0,0.8,True,CYP11B1;CYP17A1;MC2R;SULT2A1;CYB5A;PAPSS2;AKR1B1;PDE8B,
GSE156931,CYP11B2_free,ZR_androgen_program,8,8,1.0,0.8,True,CYP17A1;CYB5A;SULT2A1;SULT2B1;PAPSS2;AKR1C3;HSD17B2;HSD17B6,
GSE156931,common_genes_all_platforms,ZG_aldosterone_program,12,12,1.0,0.8,True,CYP11B2;HSD3B2;AGTR1;VSNL1;DACH1;LGR5;PDE2A;NR4A1;NR4A2;CACNA1D;CACNA1H;ATP2B3,
GSE156931,common_genes_all_platforms,intermediate_steroidogenic_program,10,10,1.0,0.8,True,CYP11A1;STAR;HSD3B2;CYP21A2;MC2R;FDX1;FDXR;SCARB1;TSPO;NR5A1,
GSE156931,common_genes_all_platforms,ZF_cortisol_program,8,8,1.0,0.8,True,CYP11B1;CYP17A1;MC2R;SULT2A1;CYB5A;PAPSS2;AKR1B1;PDE8B,
GSE156931,common_genes_all_platforms,ZR_androgen_program,8,8,1.0,0.8,True,CYP17A1;CYB5A;SULT2A1;SULT2B1;PAPSS2;AKR1C3;HSD17B2;HSD17B6,
